ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
2187988,8312,12,54.0,20:26:36,2021/06/17,83698,1,1,24,2021-06-17 20:26:36.000,1623945396,Operation,0,12,1
2187989,8313,12,50.0,20:26:37,2021/06/17,83698,1,1,24,2021-06-17 20:26:37.000,1623945397,Operation,0,12,1
2187990,8314,12,8.0,20:26:38,2021/06/17,83698,1,1,24,2021-06-17 20:26:38.000,1623945398,Operation,0,12,1
2237099,8312,12,68.0,21:48:03,2021/06/20,83712,1,1,24,2021-06-20 21:48:03.000,1624209483,Operation,0,12,1
2237100,8313,12,64.0,21:48:04,2021/06/20,83712,1,1,24,2021-06-20 21:48:04.000,1624209484,Operation,0,12,1
2237101,8314,12,7.0,21:48:06,2021/06/20,83712,1,1,24,2021-06-20 21:48:06.000,1624209486,Operation,0,12,1
2237434,8312,12,64.0,02:41:48,2021/06/21,83809,1,1,24,2021-06-21 02:41:48.000,1624227108,Operation,0,12,1
2237435,8313,12,62.0,02:41:52,2021/06/21,83809,1,1,24,2021-06-21 02:41:52.000,1624227112,Operation,0,12,1
2237436,8314,12,7.0,02:41:53,2021/06/21,83809,1,1,24,2021-06-21 02:41:53.000,1624227113,Operation,0,12,1
2237754,8312,12,64.0,09:14:23,2021/06/21,83808,1,1,24,2021-06-21 09:14:23.000,1624250663,Operation,0,12,1
2237755,8313,12,60.0,09:14:25,2021/06/21,83808,1,1,24,2021-06-21 09:14:25.000,1624250665,Operation,0,12,1
2237756,8314,12,7.0,09:14:26,2021/06/21,83808,1,1,24,2021-06-21 09:14:26.000,1624250666,Operation,0,12,1
2238480,8312,12,72.0,15:13:22,2021/06/21,83808,1,1,24,2021-06-21 15:13:22.000,1624272202,Operation,0,12,1
2238481,8313,12,70.0,15:13:24,2021/06/21,83808,1,1,24,2021-06-21 15:13:24.000,1624272204,Operation,0,12,1
2238482,8314,12,7.0,15:13:25,2021/06/21,83808,1,1,24,2021-06-21 15:13:25.000,1624272205,Operation,0,12,1
2274545,8312,12,64.0,09:43:22,2021/06/23,83809,1,1,24,2021-06-23 09:43:22.000,1624425202,Operation,0,12,1
2274546,8313,12,60.0,09:43:23,2021/06/23,83809,1,1,24,2021-06-23 09:43:23.000,1624425203,Operation,0,12,1
2274547,8314,12,7.0,09:43:24,2021/06/23,83809,1,1,24,2021-06-23 09:43:24.000,1624425204,Operation,0,12,1
2274973,8312,12,72.0,14:41:22,2021/06/23,83809,1,1,24,2021-06-23 14:41:22.000,1624443082,Operation,0,12,1
2274974,8313,12,72.0,14:41:24,2021/06/23,83809,1,1,24,2021-06-23 14:41:24.000,1624443084,Operation,0,12,1
2274975,8314,12,7.0,14:41:25,2021/06/23,83809,1,1,24,2021-06-23 14:41:25.000,1624443085,Operation,0,12,1
2275424,8312,12,73.0,20:54:56,2021/06/23,83825,1,1,24,2021-06-23 20:54:56.000,1624465496,Operation,0,12,1
2275425,8313,12,69.0,20:54:57,2021/06/23,83825,1,1,24,2021-06-23 20:54:57.000,1624465497,Operation,0,12,1
2275426,8314,12,7.0,20:54:58,2021/06/23,83825,1,1,24,2021-06-23 20:54:58.000,1624465498,Operation,0,12,1
2275755,8312,12,66.0,02:27:55,2021/06/24,83793,1,1,24,2021-06-24 02:27:55.000,1624485475,Operation,0,12,1
2275756,8313,12,62.5,02:27:57,2021/06/24,83793,1,1,24,2021-06-24 02:27:57.000,1624485477,Operation,0,12,1
2275757,8314,12,7.0,02:27:59,2021/06/24,83793,1,1,24,2021-06-24 02:27:59.000,1624485479,Operation,0,12,1
2277794,8312,12,68.0,08:36:20,2021/06/24,83823,1,1,24,2021-06-24 08:36:20.000,1624507580,Operation,0,12,1
2277795,8313,12,63.0,08:36:21,2021/06/24,83823,1,1,24,2021-06-24 08:36:21.000,1624507581,Operation,0,12,1
2277796,8314,12,7.0,08:36:24,2021/06/24,83823,1,1,24,2021-06-24 08:36:24.000,1624507584,Operation,0,12,1
2278290,8313,12,68.0,14:53:57,2021/06/24,83823,1,1,24,2021-06-24 14:53:57.000,1624530237,Operation,0,12,1
2278291,8314,12,7.0,14:54:03,2021/06/24,83823,1,1,24,2021-06-24 14:54:03.000,1624530243,Operation,0,12,1
2278296,8312,12,70.0,14:54:18,2021/06/24,83823,1,1,24,2021-06-24 14:54:18.000,1624530258,Operation,0,12,1
2333507,8312,12,67.0,02:35:15,2021/06/28,83825,1,1,24,2021-06-28 02:35:15.000,1624831515,Operation,0,12,1
2333508,8313,12,63.0,02:35:17,2021/06/28,83825,1,1,24,2021-06-28 02:35:17.000,1624831517,Operation,0,12,1
2333509,8314,12,7.0,02:35:18,2021/06/28,83825,1,1,24,2021-06-28 02:35:18.000,1624831518,Operation,0,12,1
2389514,8312,12,64.0,09:04:52,2021/07/01,83809,1,1,24,2021-07-01 09:04:52.000,1625114092,Operation,0,12,1
2389515,8313,12,60.0,09:04:54,2021/07/01,83809,1,1,24,2021-07-01 09:04:54.000,1625114094,Operation,0,12,1
2389516,8314,12,7.0,09:04:55,2021/07/01,83809,1,1,24,2021-07-01 09:04:55.000,1625114095,Operation,0,12,1
2389935,8312,12,72.0,14:21:55,2021/07/01,83809,1,1,24,2021-07-01 14:21:55.000,1625133115,Operation,0,12,1
2389936,8313,12,70.0,14:21:57,2021/07/01,83809,1,1,24,2021-07-01 14:21:57.000,1625133117,Operation,0,12,1
2220239,8312,12,52.0,20:52:57,2021/06/19,83825,1,1,24,2021-06-19 20:52:57.000,1624119777,Operation,0,12,1
2220240,8313,12,48.0,20:52:58,2021/06/19,83825,1,1,24,2021-06-19 20:52:58.000,1624119778,Operation,0,12,1
2220241,8314,12,7.0,20:53:01,2021/06/19,83825,1,1,24,2021-06-19 20:53:01.000,1624119781,Operation,0,12,1
2310184,8312,12,65.0,08:34:45,2021/06/26,83825,1,1,24,2021-06-26 08:34:45.000,1624680285,Operation,0,12,1
2310185,8313,12,61.0,08:34:46,2021/06/26,83825,1,1,24,2021-06-26 08:34:46.000,1624680286,Operation,0,12,1
2310186,8314,12,7.0,08:34:47,2021/06/26,83825,1,1,24,2021-06-26 08:34:47.000,1624680287,Operation,0,12,1
2310600,8312,12,72.0,14:30:46,2021/06/26,83825,1,1,24,2021-06-26 14:30:46.000,1624701646,Operation,0,12,1
2310601,8313,12,70.0,14:30:47,2021/06/26,83825,1,1,24,2021-06-26 14:30:47.000,1624701647,Operation,0,12,1
2310602,8314,12,7.0,14:30:48,2021/06/26,83825,1,1,24,2021-06-26 14:30:48.000,1624701648,Operation,0,12,1
2316093,8312,12,73.0,20:47:16,2021/06/26,83808,1,1,24,2021-06-26 20:47:16.000,1624724236,Operation,0,12,1
2316094,8313,12,69.0,20:47:17,2021/06/26,83808,1,1,24,2021-06-26 20:47:17.000,1624724237,Operation,0,12,1
2316095,8314,12,7.0,20:47:18,2021/06/26,83808,1,1,24,2021-06-26 20:47:18.000,1624724238,Operation,0,12,1
2316403,8312,12,70.0,02:09:38,2021/06/27,83804,1,1,24,2021-06-27 02:09:38.000,1624743578,Operation,0,12,1
2316404,8313,12,66.0,02:09:43,2021/06/27,83804,1,1,24,2021-06-27 02:09:43.000,1624743583,Operation,0,12,1
2316405,8314,12,7.0,02:09:45,2021/06/27,83804,1,1,24,2021-06-27 02:09:45.000,1624743585,Operation,0,12,1
2358174,8312,12,73.0,15:14:24,2021/06/29,83808,1,1,24,2021-06-29 15:14:24.000,1624963464,Operation,0,12,1
2358175,8313,12,70.0,15:14:26,2021/06/29,83808,1,1,24,2021-06-29 15:14:26.000,1624963466,Operation,0,12,1
