AssetID,Value,DateTime
8320,37,57:35.0
8320,44,00:33.0
8320,42,43:38.0
8320,49,41:48.0
8320,49,54:15.0
8320,45,28:39.0
8320,41,37:02.0
8320,45,54:34.0
8320,45,34:38.0
8320,47,08:53.0
8320,45,38:34.0
8320,50,41:54.0
8320,43,39:40.0
8320,43,30:42.0
8320,49,33:15.0
8320,43,48:47.0
8320,49,42:43.0
8320,49,31:13.0
8320,44,42:52.0
8320,44,38:38.0
8320,43,26:13.0
8320,48,48:15.0
8320,45,42:04.0
8320,44,13:44.0
8320,50,14:17.0
8320,50,51:16.0
8320,45,28:56.0
8320,41,31:27.0
8320,48,48:18.0
8320,43,12:49.0
8320,48,10:43.0
8320,49,37:15.0
8320,44,05:06.0
8320,50,22:10.0
8320,51,36:47.0
8320,47.5,17:42.0
8320,44,40:41.0
8320,48,11:16.0
8320,48,49:55.0
8320,44,52:03.0
8320,42,52:17.0
8320,50,29:45.0
8320,47,29:10.0
8320,44,15:05.0
8320,51,35:25.0
8320,50,07:41.0
8320,47,29:46.0
8320,43,34:11.0
8320,49,30:10.0
8320,50,46:27.0
8320,47,09:58.0
8320,51,13:47.0
8320,48,47:43.0
8320,46,27:42.0
8320,42,14:55.0
8320,48,22:23.0
8320,50,24:54.0
8320,47,36:03.0
8320,46,01:23.0
8320,52,08:41.0
8320,50,37:26.0
8320,42,35:22.0
8320,43,30:17.0
8320,48,57:31.0
8320,47,20:42.0
8320,46,47:37.0
8320,45,10:23.0
8320,45,53:55.0
8320,47,40:37.0
8320,47,46:23.0
8320,43,40:37.0
8320,49,25:01.0
8320,47,45:05.0
8320,43,11:58.0
8320,51,16:09.0
8320,50,56:58.0
8320,47,20:07.0
8320,45,36:14.0
8320,49,41:16.0
8320,46,51:35.0
8320,48,57:19.0
8320,45,21:36.0
8320,48,42:37.0
8320,42,06:23.0
8320,44,31:14.0
8320,48,19:21.0
8320,45,07:01.0
8320,43,09:22.0
8320,45,39:27.0
8320,38,45:40.0
8320,41,52:59.0
8320,42,00:22.0
8320,45,52:44.0
8320,47,53:19.0
8320,44,10:02.0
8320,45,30:31.0
8320,51,33:32.0
8320,49,58:37.0
8320,49,45:03.0
8320,44,43:27.0
8320,51,13:17.0
8320,44,16:47.0
8320,48,30:29.0
8320,50,26:09.0
8320,46,28:51.0
8320,51,59:08.0
8320,45,07:58.0
8320,43,57:19.0
8320,50,00:00.0
8320,47,00:02.0
8320,46,45:19.0
8320,44,40:34.0
8320,49,41:48.0
8320,42,09:18.0
8320,46,23:44.0
8320,46,26:00.0
8320,44,08:26.0
8320,44,23:00.0
8320,48,54:22.0
8320,46,46:29.0
8320,43,11:17.0
8320,44,27:16.0
8320,49,35:55.0
8320,50,23:03.0
8320,44,50:14.0
8320,48,07:44.0
8320,44,43:42.0
8320,44,55:00.0
8320,50,51:26.0
8320,36,36:35.0
8320,37,52:49.0
8320,40,13:16.0
8320,43,15:05.0
8320,44,36:42.0
8320,47,27:34.0
8320,43,41:10.0
8320,42,48:22.0
8320,49,09:19.0
8320,45,02:06.0
8320,52,00:20.0
8320,50,18:15.0
8320,47,50:59.0
8320,44,53:49.0
8320,49,49:07.0
8320,48,28:02.0
8320,46,18:55.0
8320,52,58:54.0
8320,47,35:47.0
8320,49,13:36.0
8320,55,53:27.0
8320,46,01:04.0
8320,49,34:03.0
8320,51.5,27:24.0
8320,46,20:25.0
8320,44,40:10.0
8320,47,00:01.0
8320,50,35:26.0
8320,46,35:37.0
8320,44,01:26.0
8320,50,01:50.0
8320,42,36:27.0
8320,48,31:42.0
8320,50,34:56.0
8320,43,31:33.0
8320,47,20:16.0
8320,52,55:22.0
8320,48,58:33.0
8320,47,32:33.0
8320,52,52:11.0
8320,50,42:13.0
8320,47,38:04.0
8320,45,17:37.0
8320,50,11:55.0
8320,48,58:59.0
8320,47,13:14.0
8320,45,50:26.0
8320,49,33:42.0
8320,49,26:00.0
