ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
1081327,8312,11,63.0,23:28:29,2021/03/22,83823,1,1,24,2021-03-22 23:28:29.000,1616439509,Operation,0,12,1
1081328,8313,11,58.0,23:28:36,2021/03/22,83823,1,1,24,2021-03-22 23:28:36.000,1616439516,Operation,0,12,1
1081329,8314,11,7.0,23:28:37,2021/03/22,83823,1,1,24,2021-03-22 23:28:37.000,1616439517,Operation,0,12,1
1081500,8312,11,63.0,05:16:12,2021/03/23,83808,1,1,24,2021-03-23 05:16:12.000,1616460372,Operation,0,12,1
1081501,8313,11,58.0,05:16:13,2021/03/23,83808,1,1,24,2021-03-23 05:16:13.000,1616460373,Operation,0,12,1
1081502,8314,11,7.0,05:16:14,2021/03/23,83808,1,1,24,2021-03-23 05:16:14.000,1616460374,Operation,0,12,1
1085784,8312,11,69.0,11:19:55,2021/03/23,83712,1,1,24,2021-03-23 11:19:55.000,1616482195,Operation,0,12,1
1085785,8313,11,65.0,11:19:57,2021/03/23,83712,1,1,24,2021-03-23 11:19:57.000,1616482197,Operation,0,12,1
1085786,8314,11,7.0,11:19:59,2021/03/23,83712,1,1,24,2021-03-23 11:19:59.000,1616482199,Operation,0,12,1
1110910,8312,11,73.0,11:15:37,2021/03/24,83698,1,1,24,2021-03-24 11:15:37.000,1616568337,Operation,0,12,1
1110911,8313,11,68.0,11:15:39,2021/03/24,83698,1,1,24,2021-03-24 11:15:39.000,1616568339,Operation,0,12,1
1110912,8314,11,7.0,11:15:40,2021/03/24,83698,1,1,24,2021-03-24 11:15:40.000,1616568340,Operation,0,12,1
1111222,8312,11,69.0,17:39:22,2021/03/24,83698,1,1,24,2021-03-24 17:39:22.000,1616591362,Operation,0,12,1
1111223,8313,11,65.0,17:39:25,2021/03/24,83698,1,1,24,2021-03-24 17:39:25.000,1616591365,Operation,0,12,1
1111224,8314,11,7.0,17:39:27,2021/03/24,83698,1,1,24,2021-03-24 17:39:27.000,1616591367,Operation,0,12,1
1111378,8312,11,66.0,23:13:19,2021/03/24,83809,1,1,24,2021-03-24 23:13:19.000,1616611399,Operation,0,12,1
1111379,8313,11,62.0,23:13:22,2021/03/24,83809,1,1,24,2021-03-24 23:13:22.000,1616611402,Operation,0,12,1
1111380,8314,11,7.0,23:13:24,2021/03/24,83809,1,1,24,2021-03-24 23:13:24.000,1616611404,Operation,0,12,1
1111612,8312,11,65.0,05:16:46,2021/03/25,83712,1,1,24,2021-03-25 05:16:46.000,1616633206,Operation,0,12,1
1111613,8313,11,61.0,05:16:49,2021/03/25,83712,1,1,24,2021-03-25 05:16:49.000,1616633209,Operation,0,12,1
