Value_9362,Value_9363,Value_9364,Value_9365,Value_9366,Value_9367,Value_9371,Value_9372,BaseTimeStamp,BaseDateTime
54.0,19.0,63.0,30.0,31.0,10.0,59.0,58.0,1618967750.0,2021-04-21 01:15:50
55.0,20.0,61.0,27.0,31.0,10.0,59.0,60.0,1618978575.0,2021-04-21 04:16:15
55.0,18.0,59.0,27.0,31.0,10.0,61.0,64.0,1618988571.0,2021-04-21 07:02:51
51.0,18.0,57.0,29.0,23.0,13.0,65.0,63.0,1619000075.0,2021-04-21 10:14:35
52.0,18.0,59.0,31.0,21.0,13.0,64.0,58.0,1619008968.0,2021-04-21 12:42:48
53.0,19.0,65.0,36.0,35.0,9.0,58.0,62.0,1619021335.0,2021-04-21 16:08:55
53.0,19.0,62.0,32.0,27.0,11.0,62.0,60.0,1619032317.0,2021-04-21 19:11:57
52.0,20.0,63.0,30.0,27.0,11.0,61.0,58.0,1619042371.0,2021-04-21 21:59:31
52.0,20.0,63.0,30.0,32.0,10.0,58.0,58.0,1619052638.0,2021-04-22 00:50:38
56.0,20.0,63.0,25.0,30.0,10.0,59.0,54.0,1619062928.0,2021-04-22 03:42:08
56.0,19.0,60.0,28.0,32.0,10.0,60.0,63.0,1619073471.0,2021-04-22 06:37:51
53.0,19.0,64.0,31.0,28.0,11.0,61.0,61.0,1619290253.0,2021-04-24 18:50:53
53.0,19.0,64.0,31.0,28.0,10.0,60.0,58.0,1619300807.0,2021-04-24 21:46:47
53.0,19.0,62.0,28.0,29.0,11.0,60.0,59.0,1619311975.0,2021-04-25 00:52:55
58.0,20.0,58.0,22.0,28.0,11.0,68.0,67.0,1619323083.0,2021-04-25 03:58:03
53.0,19.0,61.0,29.0,23.0,13.0,64.0,63.0,1619333088.0,2021-04-25 06:44:48
50.0,18.0,62.0,32.0,21.0,13.0,63.0,62.0,1619344168.0,2021-04-25 09:49:28
50.0,18.0,64.0,34.0,32.0,9.0,58.0,57.0,1619354777.0,2021-04-25 12:46:17
52.0,18.0,62.0,35.0,29.0,10.0,57.0,56.0,1618404126.0,2021-04-14 12:42:06
51.0,18.0,60.0,28.0,27.0,11.0,60.0,59.0,1618415270.0,2021-04-14 15:47:50
53.0,17.0,62.0,29.0,24.0,12.0,58.0,58.0,1618425312.0,2021-04-14 18:35:12
52.0,19.0,60.0,31.0,27.0,11.0,57.0,56.0,1618438417.0,2021-04-14 22:13:37
52.0,19.0,59.0,26.0,28.0,11.0,57.0,56.0,1618447956.0,2021-04-15 00:52:36
55.0,19.0,55.0,23.0,28.0,11.0,64.0,63.0,1618458871.0,2021-04-15 03:54:31
55.0,18.0,54.0,23.0,28.0,11.0,66.0,66.0,1618470374.0,2021-04-15 07:06:14
49.0,18.0,64.0,30.0,29.0,10.0,60.0,59.0,1619376959.0,2021-04-25 18:55:59
57.0,20.0,61.0,25.0,32.0,11.0,61.0,60.0,1619408764.0,2021-04-26 03:46:04
53.0,19.0,62.0,28.0,24.0,12.0,62.0,61.0,1618491699.0,2021-04-15 13:01:39
51.0,19.0,63.0,32.0,28.0,11.0,59.0,58.0,1618500854.0,2021-04-15 15:34:14
54.0,19.0,63.0,31.0,36.0,9.0,56.0,55.0,1618523802.0,2021-04-15 21:56:42
52.0,20.0,50.0,21.0,29.0,11.0,66.0,66.0,1618533459.0,2021-04-16 00:37:39
54.0,19.0,54.0,20.0,36.0,10.0,63.0,63.0,1618546302.0,2021-04-16 04:11:42
53.0,18.0,57.0,25.0,28.0,11.0,63.0,63.0,1618556686.0,2021-04-16 07:04:46
54.0,18.0,60.0,30.0,30.0,10.0,58.0,58.0,1618566511.0,2021-04-16 09:48:31
50.0,18.0,60.0,30.0,28.0,11.0,60.0,59.0,1618577798.0,2021-04-16 12:56:38
55.0,20.0,59.0,24.0,36.0,10.0,64.0,57.0,1618720696.0,2021-04-18 04:38:16
56.0,20.0,53.0,22.0,31.0,10.0,60.0,55.0,1618741808.0,2021-04-18 10:30:08
50.0,18.0,52.0,22.0,29.0,10.0,62.0,61.0,1618750122.0,2021-04-18 12:48:42
51.0,18.0,53.0,21.0,28.0,11.0,60.0,59.0,1618760824.0,2021-04-18 15:47:04
51.0,17.0,57.0,27.0,29.0,10.0,58.0,57.0,1618771412.0,2021-04-18 18:43:32
50.0,18.0,60.0,27.0,26.0,12.0,60.0,59.0,1618781669.0,2021-04-18 21:34:29
51.0,19.0,52.0,19.0,30.0,10.0,60.0,59.0,1618793843.0,2021-04-19 00:57:23
54.0,19.0,56.0,19.0,27.0,11.0,65.0,64.0,1618806887.0,2021-04-19 04:34:47
54.0,18.0,53.0,23.0,25.0,11.0,63.0,62.0,1618817216.0,2021-04-19 07:26:56
55.0,19.0,52.0,25.0,30.0,10.0,61.0,60.0,1618827103.0,2021-04-19 10:11:43
52.0,17.0,59.0,28.0,28.0,11.0,63.0,57.0,1618836945.0,2021-04-19 12:55:45
50.0,17.0,60.0,28.0,27.0,11.0,61.0,55.0,1618847311.0,2021-04-19 15:48:31
55.0,18.0,63.0,32.0,32.0,10.0,58.0,52.0,1618858667.0,2021-04-19 18:57:47
51.0,19.0,64.0,31.0,34.1,9.0,57.0,56.0,1618871689.0,2021-04-19 22:34:49
52.0,20.0,63.7,29.4,31.0,10.0,58.0,57.0,1618879437.0,2021-04-20 00:43:57
54.0,20.0,58.0,24.0,33.0,11.0,61.0,60.0,1618891210.0,2021-04-20 04:00:10
54.0,19.6,56.0,27.0,24.0,11.0,63.0,63.0,1618903719.0,2021-04-20 07:28:39
51.0,18.0,56.0,27.0,29.0,9.0,59.0,58.0,1619095296.0,2021-04-22 12:41:36
51.0,18.0,67.0,37.0,31.0,10.0,59.0,58.0,1619117081.0,2021-04-22 18:44:41
53.0,20.0,65.0,32.0,30.0,10.0,59.0,59.0,1619140026.0,2021-04-23 01:07:06
56.0,20.0,66.0,32.0,31.0,10.0,59.0,59.0,1619150566.0,2021-04-23 04:02:46
53.0,20.0,62.0,25.0,24.0,11.0,65.0,64.0,1619160393.0,2021-04-23 06:46:33
58.0,20.0,62.0,27.0,23.0,11.0,64.0,63.0,1619172288.0,2021-04-23 10:04:48
53.0,20.0,60.0,25.0,30.0,9.0,59.0,54.0,1619182270.0,2021-04-23 12:51:10
50.0,18.0,61.0,29.0,27.0,11.0,62.0,61.0,1619193272.0,2021-04-23 15:54:32
52.0,18.0,66.0,35.0,27.0,11.0,62.0,56.0,1619202910.0,2021-04-23 18:35:10
54.0,19.0,65.0,31.0,31.0,10.0,59.0,58.0,1619213860.0,2021-04-23 21:37:40
53.0,20.0,65.0,31.0,29.0,11.0,60.0,60.0,1619224874.0,2021-04-24 00:41:14
54.0,20.0,67.0,35.0,26.0,11.0,62.0,61.0,1619237621.0,2021-04-24 04:13:41
55.0,19.0,60.0,31.0,29.0,9.0,59.0,58.0,1619441472.0,2021-04-26 12:51:12
53.0,19.0,65.0,34.0,36.0,9.0,57.0,56.0,1619473195.0,2021-04-26 21:39:55
56.0,20.0,62.0,32.0,37.0,10.0,59.0,58.0,1619484024.0,2021-04-27 00:40:24
57.0,20.0,64.0,28.0,32.0,10.0,61.0,60.0,1619496136.0,2021-04-27 04:02:16
57.0,20.0,65.0,32.0,32.0,13.0,63.0,62.0,1619505208.0,2021-04-27 06:33:28
57.0,20.0,63.0,25.0,23.0,12.0,63.0,62.0,1619516623.0,2021-04-27 09:43:43
55.0,20.0,59.0,23.0,23.0,10.0,60.0,59.0,1619527925.0,2021-04-27 12:52:05
50.0,20.0,62.0,28.0,32.0,8.0,57.0,53.0,1619537554.0,2021-04-27 15:32:34
51.0,18.0,60.0,27.0,39.0,9.0,60.0,59.0,1619549000.0,2021-04-27 18:43:20
53.0,19.0,65.0,33.0,39.0,9.0,59.0,53.0,1619559490.0,2021-04-27 21:38:10
53.0,19.0,63.0,29.0,36.0,10.0,60.0,59.0,1619570489.0,2021-04-28 00:41:29
55.0,20.0,64.0,29.0,32.0,12.0,61.0,61.0,1619582513.0,2021-04-28 04:01:53
56.0,20.0,64.0,30.0,31.0,12.0,64.0,63.0,1619593566.0,2021-04-28 07:06:06
58.0,20.0,61.0,21.0,31.0,11.0,62.0,62.0,1619602519.0,2021-04-28 09:35:19
53.0,19.0,64.0,28.0,29.0,8.0,59.0,58.0,1619616037.0,2021-04-28 13:20:37
53.0,19.0,64.0,28.0,35.0,11.0,64.0,63.0,1619626191.0,2021-04-28 16:09:51
57.0,19.0,64.0,31.0,32.0,11.0,58.0,57.0,1619699832.0,2021-04-29 12:37:12
52.0,19.0,62.0,28.0,29.0,8.0,58.0,57.0,1619712057.0,2021-04-29 16:00:57
54.0,19.0,62.0,27.0,37.0,8.0,60.0,59.0,1619722267.0,2021-04-29 18:51:07
56.0,19.0,63.0,27.0,30.0,11.0,59.0,59.0,1620002495.0,2021-05-03 00:41:35
58.0,20.0,63.0,30.0,31.0,10.0,64.0,63.0,1620013509.0,2021-05-03 03:45:09
58.0,20.0,63.0,30.0,31.0,10.0,60.0,59.0,1620024106.0,2021-05-03 06:41:46
59.0,19.0,60.0,25.0,32.0,10.0,63.0,62.0,1620034709.0,2021-05-03 09:38:29
56.0,18.0,58.0,19.0,29.0,9.0,62.0,61.0,1620046372.0,2021-05-03 12:52:52
55.0,20.0,62.0,24.0,33.0,10.0,59.0,58.0,1620056700.0,2021-05-03 15:45:00
55.0,20.0,60.0,22.0,33.0,10.0,58.0,57.0,1620066850.0,2021-05-03 18:34:10
55.0,20.0,62.0,26.0,33.0,10.0,65.0,64.0,1620078139.0,2021-05-03 21:42:19
57.0,20.0,63.0,27.0,31.0,10.0,58.0,51.0,1620090048.0,2021-05-04 01:00:48
58.0,20.0,64.0,29.0,32.0,11.0,57.0,52.0,1620099901.0,2021-05-04 03:45:01
54.0,20.0,64.0,30.0,29.0,11.0,58.0,59.0,1620347640.0,2021-05-07 00:34:00
57.0,20.0,63.0,26.0,30.0,10.0,59.0,59.0,1620358782.0,2021-05-07 03:39:42
56.0,20.0,64.0,29.0,32.0,10.0,60.0,62.0,1620369511.0,2021-05-07 06:38:31
59.0,20.0,60.0,22.0,31.0,10.0,63.0,62.0,1620379958.0,2021-05-07 09:32:38
55.0,19.0,60.0,24.0,29.0,10.0,63.0,58.0,1620391449.0,2021-05-07 12:44:09
52.0,19.0,60.0,28.0,25.0,12.0,59.0,56.0,1620401774.0,2021-05-07 15:36:14
53.0,18.0,60.0,29.0,24.0,12.0,57.0,60.0,1620413625.0,2021-05-07 18:53:45
56.0,19.0,62.0,32.0,32.0,9.0,61.0,58.0,1620423182.0,2021-05-07 21:33:02
55.0,19.0,65.0,37.0,39.0,8.0,59.0,58.0,1620434054.0,2021-05-08 00:34:14
57.0,20.0,63.0,26.0,31.0,10.0,59.0,60.0,1620444865.0,2021-05-08 03:34:25
57.0,20.0,63.0,26.0,31.0,10.0,61.0,62.0,1620455718.0,2021-05-08 06:35:18
60.0,20.0,60.0,23.0,32.0,10.0,63.0,61.0,1620466413.0,2021-05-08 09:33:33
55.0,19.0,60.0,22.0,35.0,10.0,62.0,57.0,1620477203.0,2021-05-08 12:33:23
51.0,19.0,60.0,27.0,24.0,13.0,58.0,60.0,1620488497.0,2021-05-08 15:41:37
52.0,19.0,62.0,30.0,24.0,12.0,61.0,58.0,1620499400.0,2021-05-08 18:43:20
56.0,20.0,64.0,28.0,32.0,10.0,59.0,60.0,1619754192.0,2021-04-30 03:43:12
55.0,19.0,61.0,27.0,28.0,12.0,62.0,57.0,1619785982.0,2021-04-30 12:33:02
52.0,19.0,63.0,30.0,26.0,12.0,58.0,60.0,1619796951.0,2021-04-30 15:35:51
53.0,20.0,66.0,35.0,33.0,9.0,61.0,58.0,1619807580.0,2021-04-30 18:33:00
57.0,20.0,64.0,28.0,30.0,10.0,59.0,57.0,1619818870.0,2021-04-30 21:41:10
59.0,20.0,64.0,28.0,34.0,10.0,57.0,59.0,1619829586.0,2021-05-01 00:39:46
60.0,20.0,64.0,30.0,35.0,9.0,60.0,59.0,1619841886.0,2021-05-01 04:04:46
58.0,20.0,58.0,20.0,32.0,10.0,60.0,62.0,1619851405.0,2021-05-01 06:43:25
58.0,19.0,62.0,24.0,28.0,11.0,62.0,61.0,1619862189.0,2021-05-01 09:43:09
54.0,18.0,61.0,25.0,24.0,12.0,62.0,62.0,1619872714.0,2021-05-01 12:38:34
51.0,20.0,63.0,30.0,30.0,12.0,63.0,61.0,1619883395.0,2021-05-01 15:36:35
50.0,19.0,61.0,23.0,29.0,11.0,62.0,59.0,1619894408.0,2021-05-01 18:40:08
60.0,20.0,63.0,32.0,30.0,11.0,62.0,61.0,1620142675.0,2021-05-04 15:37:55
53.0,20.0,66.0,33.0,29.0,11.0,58.0,57.0,1620164047.0,2021-05-04 21:34:07
54.0,20.0,62.0,28.0,29.0,11.0,60.0,59.0,1620176048.0,2021-05-05 00:54:08
55.0,20.0,60.0,24.0,32.0,11.0,59.0,58.0,1620187204.0,2021-05-05 04:00:04
56.0,19.0,62.0,29.0,27.0,11.0,61.0,61.0,1620198063.0,2021-05-05 07:01:03
56.0,19.0,62.0,27.0,24.0,12.0,61.0,60.0,1620210357.0,2021-05-05 10:25:57
56.0,19.0,63.0,31.0,23.0,12.0,58.0,53.0,1620219373.0,2021-05-05 12:56:13
55.0,19.0,60.0,26.0,27.0,11.0,62.0,61.0,1620705413.0,2021-05-11 03:56:53
55.0,19.0,62.0,31.0,29.0,11.0,61.0,60.0,1620736468.0,2021-05-11 12:34:28
