Value_9362,Value_9363,Value_9364,Value_9365,Value_9366,Value_9367,Value_9371,Value_9372,BaseTimeStamp,BaseDateTime
56.0,20.0,47.0,24.0,36.0,19.0,66.0,66.0,1638117190.0,2021-11-28 16:33:10
58.0,20.0,53.0,40.0,48.0,18.0,61.0,61.0,1638009154.0,2021-11-27 10:32:34
55.0,19.0,57.0,38.0,48.0,20.0,57.0,57.0,1638020303.0,2021-11-27 13:38:23
59.0,19.0,47.0,28.0,42.0,18.0,56.0,62.0,1638171704.0,2021-11-29 07:41:44
57.0,19.0,48.0,30.0,43.0,19.0,61.0,61.0,1638181919.0,2021-11-29 10:31:59
56.0,20.0,50.0,24.0,42.0,20.0,62.0,62.0,1638192930.0,2021-11-29 13:35:30
56.0,20.0,50.0,22.0,38.0,21.0,61.0,65.0,1638203994.0,2021-11-29 16:39:54
62.0,20.0,45.0,2.0,33.0,21.0,62.0,63.0,1638214599.0,2021-11-29 19:36:39
63.0,20.0,43.0,20.0,34.0,20.0,65.0,62.0,1638225242.0,2021-11-29 22:34:02
58.0,19.0,49.0,23.0,35.0,22.0,61.0,64.0,1638711178.0,2021-12-05 13:32:58
59.0,20.0,51.0,33.0,46.0,20.0,63.0,61.0,1638268946.0,2021-11-30 10:42:26
59.0,20.0,55.0,22.0,42.0,20.0,61.0,57.0,1638280206.0,2021-11-30 13:50:06
57.0,20.0,47.0,21.0,36.0,22.0,57.0,63.0,1638291620.0,2021-11-30 17:00:20
58.0,19.0,45.0,18.0,36.0,21.0,63.0,64.0,1638301043.0,2021-11-30 19:37:23
61.0,20.0,41.0,22.0,38.0,20.0,64.0,64.0,1638312934.0,2021-11-30 22:55:34
61.0,20.0,40.0,20.0,44.0,20.0,64.0,65.0,1638322428.0,2021-12-01 01:33:48
61.0,20.0,47.0,20.0,44.0,20.0,65.0,60.0,1638334372.0,2021-12-01 04:52:52
62.0,20.0,47.0,24.0,44.0,19.0,60.0,62.0,1638344467.0,2021-12-01 07:41:07
58.0,20.0,50.0,30.0,43.0,19.0,62.0,60.0,1638355092.0,2021-12-01 10:38:12
60.0,20.0,52.0,30.0,44.0,21.0,60.0,58.0,1638365986.0,2021-12-01 13:39:46
64.0,20.0,53.0,28.0,42.0,21.0,58.0,56.0,1638376704.0,2021-12-01 16:38:24
59.0,20.0,51.0,18.0,33.0,21.0,56.0,56.0,1638387797.0,2021-12-01 19:43:17
60.0,19.0,44.0,24.0,43.0,21.0,65.0,53.0,1638766217.0,2021-12-06 04:50:17
62.0,19.0,48.0,22.0,40.0,22.0,59.0,54.0,1638787703.0,2021-12-06 10:48:23
61.0,19.0,41.0,21.0,40.0,21.0,61.0,64.0,1638798182.0,2021-12-06 13:43:02
61.0,20.0,43.0,18.0,37.0,21.0,59.0,64.0,1638808792.0,2021-12-06 16:39:52
63.0,19.0,44.0,20.0,37.0,22.0,64.0,61.0,1638819490.0,2021-12-06 19:38:10
61.0,19.0,40.0,20.0,39.0,22.0,64.0,60.0,1638830013.0,2021-12-06 22:33:33
61.0,19.0,38.0,24.0,46.0,21.0,61.0,61.0,1638842077.0,2021-12-07 01:54:37
61.0,19.0,45.0,23.0,46.0,21.0,60.0,58.0,1638851699.0,2021-12-07 04:34:59
61.0,19.0,43.0,25.0,43.0,21.0,61.0,62.0,1638863169.0,2021-12-07 07:46:09
60.0,19.0,47.0,20.0,38.0,22.0,58.0,60.0,1638874027.0,2021-12-07 10:47:07
60.0,19.0,40.0,20.0,36.0,22.0,62.0,58.0,1638884303.0,2021-12-07 13:38:23
60.0,20.0,46.0,26.0,43.0,21.0,65.0,60.0,1638419592.0,2021-12-02 04:33:12
60.0,20.0,50.0,24.0,43.0,21.0,62.0,55.0,1638441173.0,2021-12-02 10:32:53
62.0,20.0,49.0,25.0,42.0,21.0,61.0,59.0,1638452538.0,2021-12-02 13:42:18
63.0,21.0,50.0,25.0,42.0,22.0,60.0,61.0,1638518127.0,2021-12-03 07:55:27
61.0,20.0,47.0,19.0,34.0,22.0,61.0,58.0,1638527740.0,2021-12-03 10:35:40
61.0,20.0,42.0,18.0,34.0,22.0,58.0,61.0,1638540384.0,2021-12-03 14:06:24
66.0,20.0,41.0,20.0,38.0,22.0,61.0,64.0,1638549320.0,2021-12-03 16:35:20
65.0,19.0,40.0,21.0,40.0,22.0,64.0,64.0,1638560045.0,2021-12-03 19:34:05
62.0,19.0,37.0,22.0,40.0,22.0,64.0,62.0,1638570999.0,2021-12-03 22:36:39
62.0,19.0,47.0,22.0,40.0,22.0,62.0,62.0,1638581555.0,2021-12-04 01:32:35
60.0,19.0,47.0,27.0,42.0,22.0,62.0,57.0,1638592755.0,2021-12-04 04:39:15
58.0,20.0,50.0,32.0,42.0,20.0,57.0,60.0,1638603187.0,2021-12-04 07:33:07
59.0,20.0,52.0,30.0,41.0,20.0,60.0,58.0,1638614005.0,2021-12-04 10:33:25
60.0,19.0,45.0,20.0,41.0,21.0,58.0,52.0,1639111087.0,2021-12-10 04:38:07
55.0,19.0,47.0,20.0,37.0,21.0,61.0,61.0,1639122177.0,2021-12-10 07:42:57
57.0,19.0,41.0,20.0,36.0,22.0,60.0,59.0,1639132614.0,2021-12-10 10:36:54
60.0,19.0,41.0,20.0,39.0,22.0,65.0,65.0,1639143322.0,2021-12-10 13:35:22
60.0,19.0,43.0,19.0,40.0,23.0,65.0,65.0,1639154264.0,2021-12-10 16:37:44
60.0,19.0,39.0,26.0,46.0,21.0,62.0,62.0,1639164967.0,2021-12-10 19:36:07
60.0,19.0,37.0,25.0,45.0,21.0,62.0,62.0,1639175538.0,2021-12-10 22:32:18
62.0,19.0,47.0,25.0,41.0,20.0,62.0,62.0,1639187580.0,2021-12-11 01:53:00
59.0,18.0,45.0,21.0,37.0,22.0,58.0,58.0,1639198005.0,2021-12-11 04:46:45
57.0,19.0,48.0,18.0,38.0,22.0,60.0,60.0,1639209071.0,2021-12-11 07:51:11
61.0,18.0,42.0,18.0,38.0,22.0,64.0,64.0,1639413173.0,2021-12-13 16:32:53
61.0,18.0,42.0,26.0,47.0,18.0,62.0,62.0,1639423988.0,2021-12-13 19:33:08
61.0,19.0,41.0,27.0,45.0,22.0,62.0,62.0,1639435008.0,2021-12-13 22:36:48
58.0,17.0,32.0,27.0,43.0,21.0,60.0,53.0,1639445642.0,2021-12-14 01:34:02
59.0,18.0,44.0,22.0,37.0,21.0,68.0,60.0,1639456733.0,2021-12-14 04:38:53
59.0,19.0,47.0,19.0,34.0,20.0,61.0,55.0,1639467306.0,2021-12-14 07:35:06
56.0,19.0,41.0,19.0,34.0,21.0,60.0,60.0,1639478125.0,2021-12-14 10:35:25
58.0,18.0,39.0,20.0,37.0,22.0,66.0,66.0,1639488799.0,2021-12-14 13:33:19
58.0,19.0,39.0,25.0,41.0,22.0,66.0,66.0,1639499891.0,2021-12-14 16:38:11
57.0,18.0,39.0,20.0,44.0,22.0,65.0,65.0,1639510391.0,2021-12-14 19:33:11
63.0,19.0,48.0,23.0,43.0,22.0,63.0,63.0,1639521163.0,2021-12-14 22:32:43
61.0,19.0,44.0,26.0,42.0,22.0,54.0,54.0,1639532193.0,2021-12-15 01:36:33
58.0,18.0,43.0,20.0,36.0,22.0,58.0,58.0,1639543925.0,2021-12-15 04:52:05
60.0,19.0,45.0,17.0,33.0,20.0,61.0,61.0,1639553567.0,2021-12-15 07:32:47
58.0,19.0,42.0,18.0,38.0,21.0,60.0,60.0,1639564586.0,2021-12-15 10:36:26
57.0,18.0,41.0,20.0,37.0,22.0,63.0,63.0,1639596769.0,2021-12-15 19:32:49
59.0,19.0,38.0,21.0,45.0,22.0,63.0,55.0,1638916454.0,2021-12-07 22:34:14
59.0,19.0,39.0,24.0,43.0,21.0,63.0,64.0,1638929507.0,2021-12-08 02:11:47
59.0,19.0,45.0,24.0,42.0,21.0,59.0,59.0,1638939440.0,2021-12-08 04:57:20
58.0,19.0,44.0,23.0,36.0,22.0,62.0,62.0,1638950100.0,2021-12-08 07:55:00
59.0,19.0,46.0,18.0,36.0,22.0,61.0,61.0,1638959589.0,2021-12-08 10:33:09
59.0,19.0,47.0,21.0,38.0,22.0,60.0,60.0,1638970348.0,2021-12-08 13:32:28
60.0,19.0,42.0,19.0,38.0,22.0,64.0,64.0,1638981539.0,2021-12-08 16:38:59
61.0,19.0,41.0,20.0,43.0,21.0,63.0,63.0,1638992588.0,2021-12-08 19:43:08
62.0,19.0,41.0,22.0,44.0,22.0,63.0,63.0,1639003049.0,2021-12-08 22:37:29
62.0,20.0,40.0,21.0,42.0,21.0,62.0,62.0,1639013710.0,2021-12-09 01:35:10
59.0,18.0,44.0,27.0,39.0,22.0,60.0,60.0,1639024354.0,2021-12-09 04:32:34
55.0,18.0,42.0,22.0,41.0,21.0,65.0,65.0,1639759025.0,2021-12-17 16:37:05
55.0,18.0,40.0,23.0,46.0,21.0,66.0,66.0,1639770343.0,2021-12-17 19:45:43
62.0,19.0,38.0,26.0,47.0,21.0,65.0,65.0,1639780587.0,2021-12-17 22:36:27
62.0,20.0,48.0,25.0,47.0,21.0,58.0,58.0,1639791412.0,2021-12-18 01:36:52
55.0,18.0,42.0,25.0,45.0,20.0,62.0,62.0,1639629280.0,2021-12-16 04:34:40
55.0,18.0,42.0,28.0,42.0,21.0,60.0,60.0,1639640717.0,2021-12-16 07:45:17
60.0,18.0,47.0,20.0,35.0,21.0,60.0,59.0,1639650777.0,2021-12-16 10:32:57
61.0,19.0,49.9,19.0,35.0,21.0,57.0,57.0,1639663047.0,2021-12-16 13:57:27
55.0,18.0,42.0,19.0,36.0,21.0,65.0,65.0,1639673249.0,2021-12-16 16:47:29
56.0,18.0,40.0,20.0,35.0,22.0,64.0,64.0,1639684120.0,2021-12-16 19:48:40
57.0,18.0,39.0,21.0,42.0,21.0,63.0,63.0,1639272805.0,2021-12-12 01:33:25
57.0,18.0,36.0,25.0,44.0,21.0,63.0,63.0,1639284801.0,2021-12-12 04:53:21
58.0,19.0,40.0,25.0,40.0,21.0,61.0,61.0,1639294337.0,2021-12-12 07:32:17
58.0,19.0,45.0,20.0,34.0,20.0,59.0,59.0,1639305828.0,2021-12-12 10:43:48
55.0,18.0,45.0,20.0,32.0,21.0,66.0,66.0,1639316257.0,2021-12-12 13:37:37
59.0,19.0,41.0,20.0,37.0,21.0,64.0,64.0,1639328222.0,2021-12-12 16:57:02
54.0,18.0,39.0,23.0,45.0,21.0,65.0,65.0,1639866791.0,2021-12-18 22:33:11
55.0,17.0,38.0,26.0,45.0,21.0,66.0,66.0,1639877826.0,2021-12-19 01:37:06
59.0,19.0,35.0,22.0,46.0,21.0,58.0,58.0,1639888829.0,2021-12-19 04:40:29
58.0,19.0,47.0,28.0,40.0,21.0,60.0,60.0,1639899244.0,2021-12-19 07:34:04
58.0,19.0,46.0,19.0,34.0,19.0,59.0,59.0,1639910773.0,2021-12-19 10:46:13
56.0,19.0,48.0,21.0,36.0,20.0,65.0,66.0,1639921378.0,2021-12-19 13:42:58
54.0,18.0,41.0,20.0,36.0,20.0,65.0,65.0,1639931526.0,2021-12-19 16:32:06
54.0,18.0,41.0,19.0,38.0,20.0,65.0,65.0,1639942904.0,2021-12-19 19:41:44
58.0,18.0,40.0,21.0,38.0,20.0,64.0,64.0,1639953272.0,2021-12-19 22:34:32
58.0,18.0,40.0,21.0,45.0,21.0,64.0,64.0,1639964420.0,2021-12-20 01:40:20
58.0,18.0,40.0,25.0,45.0,21.0,68.0,68.0,1639975598.0,2021-12-20 04:46:38
59.0,19.0,40.0,25.0,45.0,20.0,60.0,60.0,1639985594.0,2021-12-20 07:33:14
59.0,19.0,45.0,32.0,43.0,20.0,59.0,59.0,1639996420.0,2021-12-20 10:33:40
59.0,19.0,45.0,31.0,34.0,20.0,57.0,57.0,1640007158.0,2021-12-20 13:32:38
59.0,19.0,50.0,23.0,33.0,19.0,57.0,57.0,1640018887.0,2021-12-20 16:48:07
58.0,18.0,50.0,20.0,34.0,19.0,64.0,64.0,1640029657.0,2021-12-20 19:47:37
56.0,18.0,42.0,20.0,33.0,20.0,65.0,65.0,1640104378.0,2021-12-21 16:32:58
58.0,18.0,42.0,20.0,37.0,21.0,65.0,65.0,1640115980.0,2021-12-21 19:46:20
58.0,19.0,42.0,19.0,45.0,21.0,65.0,65.0,1640125983.0,2021-12-21 22:33:03
61.0,19.0,42.0,27.0,45.0,21.0,63.0,56.0,1640136958.0,2021-12-22 01:35:58
60.0,19.0,51.0,28.0,45.0,20.0,55.0,50.0,1640148045.0,2021-12-22 04:40:45
61.0,19.0,48.0,30.0,37.0,21.0,56.0,51.0,1640159428.0,2021-12-22 07:50:28
60.0,19.0,51.0,24.0,35.0,20.0,55.0,50.0,1640169875.0,2021-12-22 10:44:35
58.0,19.0,44.0,24.0,35.0,20.0,62.0,62.0,1640181308.0,2021-12-22 13:55:08
58.0,19.0,44.0,24.0,36.0,21.0,62.0,62.0,1640191365.0,2021-12-22 16:42:45
60.0,19.0,44.0,21.0,35.0,21.0,59.0,59.0,1640202092.0,2021-12-22 19:41:32
61.0,18.0,41.0,20.0,42.0,19.0,59.0,59.0,1640212327.0,2021-12-22 22:32:07
58.0,17.0,38.0,21.0,44.0,22.0,60.0,60.0,1640223920.0,2021-12-23 01:45:20
57.0,19.0,37.0,25.0,43.0,20.0,64.0,64.0,1640234252.0,2021-12-23 04:37:32
59.0,18.0,45.0,26.0,35.0,20.0,59.0,59.0,1640246056.0,2021-12-23 07:54:16
58.0,18.0,49.0,24.0,39.0,22.0,57.0,57.0,1640256407.0,2021-12-23 10:46:47
57.0,19.0,44.0,29.0,43.0,21.0,58.0,63.0,1639380767.0,2021-12-13 07:32:47
54.0,19.0,45.0,21.0,29.0,22.0,58.0,57.0,1640429420.0,2021-12-25 10:50:20
65.0,17.0,34.0,28.0,35.0,19.0,57.0,63.0,1640440527.0,2021-12-25 13:55:27
54.0,17.0,38.0,28.0,35.0,19.0,63.0,63.0,1640451931.0,2021-12-25 17:05:31
52.0,17.0,36.0,28.0,36.0,22.0,63.0,63.0,1640463180.0,2021-12-25 20:13:00
52.0,17.0,36.0,28.0,39.0,22.0,63.0,60.0,1640472491.0,2021-12-25 22:48:11
52.0,16.0,37.0,32.0,38.0,20.0,61.0,52.0,1640482482.0,2021-12-26 01:34:42
50.0,18.0,32.0,29.0,42.0,22.0,59.0,57.0,1640493355.0,2021-12-26 04:35:55
53.0,18.0,39.0,29.0,42.0,23.0,65.0,58.0,1640504295.0,2021-12-26 07:38:15
56.0,18.0,37.0,28.0,31.0,21.0,58.0,61.0,1640514845.0,2021-12-26 10:34:05
56.0,18.0,36.0,23.0,35.0,22.0,61.0,63.0,1640526329.0,2021-12-26 13:45:29
55.0,18.0,38.0,25.0,33.0,21.0,63.0,61.0,1640537010.0,2021-12-26 16:43:30
56.0,17.0,38.0,24.0,33.0,22.0,61.0,60.0,1640548375.0,2021-12-26 19:52:55
57.0,17.0,35.0,26.0,35.0,23.0,60.0,60.0,1640557928.0,2021-12-26 22:32:08
56.0,17.0,34.0,25.0,39.0,22.0,60.0,60.0,1640569059.0,2021-12-27 01:37:39
57.0,17.0,41.0,28.0,39.0,22.0,60.0,56.0,1640580388.0,2021-12-27 04:46:28
57.0,17.0,39.0,28.0,39.0,22.0,56.0,58.0,1640591380.0,2021-12-27 07:49:40
55.0,18.0,42.0,22.0,31.0,20.0,59.0,57.0,1640602284.0,2021-12-27 10:51:24
52.0,18.0,37.0,24.0,36.0,22.0,57.0,63.0,1640613428.0,2021-12-27 13:57:08
54.0,18.0,37.0,25.0,38.0,23.0,63.0,54.0,1640622781.0,2021-12-27 16:33:01
50.0,17.0,37.0,31.0,32.0,21.0,62.0,62.0,1640365140.0,2021-12-24 16:59:00
53.0,17.0,37.0,28.0,33.0,21.0,63.0,63.0,1640375953.0,2021-12-24 19:59:13
53.0,18.0,40.0,25.0,34.0,21.0,64.0,64.0,1640667446.0,2021-12-28 04:57:26
55.0,18.0,40.0,23.0,27.0,18.0,59.0,59.0,1640677187.0,2021-12-28 07:39:47
53.0,18.0,36.0,21.0,27.0,19.0,58.0,58.0,1640688666.0,2021-12-28 10:51:06
55.0,17.0,36.0,24.0,27.0,20.0,58.0,58.0,1640698513.0,2021-12-28 13:35:13
56.0,17.0,34.0,25.0,31.0,20.0,62.0,62.0,1640710173.0,2021-12-28 16:49:33
54.0,18.0,33.0,25.0,33.0,20.0,61.0,61.0,1640720671.0,2021-12-28 19:44:31
54.0,18.0,33.0,22.0,30.0,21.0,62.0,62.0,1640731703.0,2021-12-28 22:48:23
54.0,18.0,31.0,24.0,33.0,20.0,61.0,61.0,1640741575.0,2021-12-29 01:32:55
59.0,17.0,33.0,23.0,32.0,20.0,61.0,61.0,1640752747.0,2021-12-29 04:39:07
54.0,19.0,47.0,28.0,41.0,20.0,62.0,62.0,1640785657.0,2021-12-29 13:47:37
50.0,17.0,36.0,25.0,37.0,22.0,62.0,62.0,1641001998.0,2022-01-01 01:53:18
55.0,17.0,38.0,24.0,29.0,19.0,66.0,66.0,1641011913.0,2022-01-01 04:38:33
55.0,17.0,30.0,25.0,29.0,19.0,57.0,57.0,1641025341.0,2022-01-01 08:22:21
54.0,17.0,30.0,25.0,29.0,19.0,57.0,57.0,1641033274.0,2022-01-01 10:34:34
55.0,18.0,30.0,24.0,30.0,21.0,64.0,64.0,1641044572.0,2022-01-01 13:42:52
55.0,18.0,30.0,25.0,33.0,20.0,64.0,64.0,1641054791.0,2022-01-01 16:33:11
62.0,17.0,30.0,23.0,36.0,21.0,64.0,64.0,1641066352.0,2022-01-01 19:45:52
60.0,17.0,30.0,25.0,33.0,19.0,63.0,63.0,1641077392.0,2022-01-01 22:49:52
57.0,17.0,31.0,25.0,31.0,20.0,62.0,62.0,1640806370.0,2021-12-29 19:32:50
55.0,17.0,30.0,23.0,32.0,20.0,62.0,62.0,1640817753.0,2021-12-29 22:42:33
55.0,17.0,31.0,27.0,31.0,21.0,63.0,63.0,1640828085.0,2021-12-30 01:34:45
56.0,17.0,31.0,23.0,29.0,20.0,62.0,62.0,1640839688.0,2021-12-30 04:48:08
57.0,17.0,31.0,26.0,30.0,20.0,62.0,54.0,1640849674.0,2021-12-30 07:34:34
57.0,18.0,31.0,26.0,28.0,21.0,62.0,54.0,1640860725.0,2021-12-30 10:38:45
57.0,17.0,31.0,24.0,29.0,20.0,63.0,63.0,1640871823.0,2021-12-30 13:43:43
57.0,17.0,31.0,25.0,28.0,20.0,62.0,61.0,1640882027.0,2021-12-30 16:33:47
57.0,17.0,30.0,21.0,32.0,20.0,61.0,61.0,1640892786.0,2021-12-30 19:33:06
56.0,17.0,31.0,23.0,38.0,22.0,61.0,61.0,1640903613.0,2021-12-30 22:33:33
57.0,18.0,35.0,22.0,35.0,23.0,61.0,61.0,1640914440.0,2021-12-31 01:34:00
48.0,17.0,41.0,35.0,41.0,18.0,62.0,62.0,1641401081.0,2022-01-05 16:44:41
48.0,17.0,41.0,37.0,57.0,16.0,61.0,61.0,1641411424.0,2022-01-05 19:37:04
51.0,17.0,42.0,32.0,59.0,16.0,60.0,60.0,1641422021.0,2022-01-05 22:33:41
50.0,17.0,41.0,33.0,50.0,16.0,59.0,59.0,1641432914.0,2022-01-06 01:35:14
46.0,16.0,38.0,33.0,40.0,17.0,64.0,64.0,1641443629.0,2022-01-06 04:33:49
51.0,17.0,36.0,35.0,40.0,17.0,66.0,66.0,1641454692.0,2022-01-06 07:38:12
51.0,18.0,38.0,37.0,40.0,17.0,65.0,65.0,1641465190.0,2022-01-06 10:33:10
50.0,18.0,41.0,32.0,40.0,17.0,63.0,63.0,1641476048.0,2022-01-06 13:34:08
50.0,18.0,42.0,32.0,41.0,17.0,62.0,62.0,1641486916.0,2022-01-06 16:35:16
50.0,18.0,43.0,32.0,63.0,17.0,61.0,61.0,1641497665.0,2022-01-06 19:34:25
48.0,17.0,43.0,35.0,31.0,19.0,59.0,59.0,1641519377.0,2022-01-07 01:36:17
51.0,18.0,38.0,37.0,31.0,19.0,64.0,56.0,1641530026.0,2022-01-07 04:33:46
50.0,17.0,38.0,37.0,44.0,18.0,36.0,36.0,1641162742.0,2022-01-02 22:32:22
52.0,17.0,37.0,36.0,40.0,18.0,63.0,63.0,1641206147.0,2022-01-03 10:35:47
52.0,17.0,37.0,35.0,45.0,19.0,65.0,65.0,1641216839.0,2022-01-03 13:33:59
50.0,17.0,37.0,32.0,46.0,17.0,65.0,65.0,1641228452.0,2022-01-03 16:47:32
51.0,17.0,37.0,35.0,40.0,17.0,65.0,65.0,1641238415.0,2022-01-03 19:33:35
51.0,17.0,39.0,37.0,43.0,19.0,64.0,64.0,1641249179.0,2022-01-03 22:32:59
51.0,18.0,38.0,33.0,39.0,19.0,64.0,64.0,1641260032.0,2022-01-04 01:33:52
50.0,18.0,38.0,34.0,53.0,17.0,64.0,64.0,1641282940.0,2022-01-04 07:55:40
52.0,19.0,45.0,32.0,52.0,16.0,64.0,64.0,1641789281.0,2022-01-10 04:34:41
54.0,18.0,48.0,34.0,43.0,17.0,59.0,59.0,1641594770.0,2022-01-07 22:32:50
52.0,18.0,46.0,37.0,43.0,17.0,56.0,56.0,1641638038.0,2022-01-08 10:33:58
51.0,18.0,45.0,34.0,55.0,16.0,62.0,62.0,1641648746.0,2022-01-08 13:32:26
52.0,19.0,45.0,34.0,62.0,15.0,60.0,60.0,1641659634.0,2022-01-08 16:33:54
54.0,19.0,44.0,35.0,47.0,17.0,59.0,59.0,1641670389.0,2022-01-08 19:33:09
62.0,16.0,34.0,53.0,93.0,91.0,63.0,62.0,1643582524.0,2022-01-30 22:42:04
63.0,17.0,35.0,44.0,74.0,95.0,63.0,63.0,1643593040.0,2022-01-31 01:37:20
64.0,18.0,37.0,47.0,71.0,98.0,63.0,63.0,1643603737.0,2022-01-31 04:35:37
70.0,18.0,38.0,47.0,70.0,98.0,63.0,63.0,1643614672.0,2022-01-31 07:37:52
70.0,18.0,38.0,47.0,72.0,100.0,63.0,63.0,1643625305.0,2022-01-31 10:35:05
66.0,18.0,40.0,45.0,74.0,99.0,63.0,63.0,1643636010.0,2022-01-31 13:33:30
65.0,18.0,40.0,48.0,76.0,98.0,63.0,63.0,1643647112.0,2022-01-31 16:38:32
65.0,18.0,40.0,46.0,75.0,100.0,63.0,63.0,1643657554.0,2022-01-31 19:32:34
65.0,18.0,37.0,43.0,72.0,103.0,64.0,64.0,1641378897.0,2022-01-05 10:34:57
65.0,20.0,40.0,39.0,66.0,104.0,63.0,63.0,1643776589.0,2022-02-02 04:36:29
65.0,17.0,40.0,44.0,71.0,103.0,63.0,63.0,1643808778.0,2022-02-02 13:32:58
64.0,19.0,41.0,43.0,67.0,100.0,63.0,63.0,1643863703.0,2022-02-03 04:48:23
64.0,19.0,42.0,46.0,66.0,102.0,63.0,63.0,1643873633.0,2022-02-03 07:33:53
65.0,19.0,41.0,40.0,69.0,103.0,63.0,63.0,1643884377.0,2022-02-03 10:32:57
66.0,19.0,41.0,41.0,63.0,26.0,63.0,63.0,1643906849.0,2022-02-03 16:47:29
66.0,20.0,48.0,47.0,61.0,96.0,63.0,63.0,1644165414.0,2022-02-06 16:36:54
65.0,20.0,48.0,39.0,67.0,96.0,63.0,63.0,1644176216.0,2022-02-06 19:36:56
66.0,20.0,46.0,43.0,63.0,98.0,63.0,63.0,1644187390.0,2022-02-06 22:43:10
66.0,20.0,48.0,43.0,63.0,106.0,63.0,63.0,1644197900.0,2022-02-07 01:38:20
67.0,20.0,48.0,49.0,67.0,99.0,63.0,63.0,1644209111.0,2022-02-07 04:45:11
69.0,20.0,52.0,47.0,61.0,96.0,63.0,63.0,1644219195.0,2022-02-07 07:33:15
65.0,20.0,46.0,40.0,60.0,96.0,63.0,63.0,1644232289.0,2022-02-07 11:11:29
67.0,21.0,50.0,42.0,66.0,93.0,63.0,63.0,1644435345.0,2022-02-09 19:35:45
65.0,21.0,47.0,41.0,66.0,93.0,63.0,63.0,1644446253.0,2022-02-09 22:37:33
65.0,21.0,48.0,41.0,64.0,93.0,63.0,63.0,1644458101.0,2022-02-10 01:55:01
69.0,21.0,48.0,45.0,62.0,95.0,63.0,63.0,1644468428.0,2022-02-10 04:47:08
64.0,22.0,51.0,44.0,55.0,93.0,63.0,63.0,1644479521.0,2022-02-10 07:52:01
69.0,22.0,52.0,44.0,55.0,93.0,63.0,63.0,1644489518.0,2022-02-10 10:38:38
66.0,22.0,52.0,41.0,61.0,95.0,63.0,63.0,1644652290.0,2022-02-12 07:51:30
65.0,21.0,49.0,43.0,64.0,92.0,63.0,63.0,1644317457.0,2022-02-08 10:50:57
67.0,22.0,51.0,46.0,62.0,94.0,63.0,63.0,1644727831.0,2022-02-13 04:50:31
64.0,22.0,52.0,45.0,58.0,96.0,63.0,63.0,1644738111.0,2022-02-13 07:41:51
63.0,22.0,52.0,46.0,57.0,96.0,63.0,63.0,1644748437.0,2022-02-13 10:33:57
64.0,22.0,51.0,44.0,58.0,96.0,63.0,63.0,1644759642.0,2022-02-13 13:40:42
64.0,22.0,50.0,44.0,59.0,92.0,63.0,63.0,1644770160.0,2022-02-13 16:36:00
62.0,21.0,49.0,44.0,66.0,94.0,63.0,63.0,1644780949.0,2022-02-13 19:35:49
65.0,21.0,50.0,44.0,64.0,94.0,63.0,63.0,1644792434.0,2022-02-13 22:47:14
69.0,22.0,50.0,52.0,59.0,93.0,63.0,63.0,1644543214.0,2022-02-11 01:33:34
69.0,23.0,51.0,48.0,56.0,97.0,63.0,63.0,1644403285.0,2022-02-09 10:41:25
68.0,22.0,51.0,46.0,58.0,98.0,63.0,63.0,1644899688.0,2022-02-15 04:34:48
68.0,22.0,50.0,44.0,55.0,95.0,63.0,63.0,1644910718.0,2022-02-15 07:38:38
66.0,22.0,53.0,44.0,66.0,96.0,63.0,63.0,1644694500.0,2022-02-12 19:35:00
69.0,22.0,53.0,44.0,67.0,99.0,63.0,63.0,1644705298.0,2022-02-12 22:34:58
65.0,22.0,53.0,41.0,53.0,94.0,63.0,63.0,1644985965.0,2022-02-16 04:32:45
65.0,22.0,49.0,35.0,52.0,98.0,63.0,63.0,1644997420.0,2022-02-16 07:43:40
68.0,22.0,47.0,30.0,54.0,95.0,63.0,63.0,1645007579.0,2022-02-16 10:32:59
70.0,22.0,46.0,39.0,64.0,92.0,63.0,63.0,1645018449.0,2022-02-16 13:34:09
69.0,21.0,50.0,38.0,61.0,94.0,63.0,63.0,1645029601.0,2022-02-16 16:40:01
65.0,22.0,50.0,40.0,64.0,97.0,63.0,63.0,1645040036.0,2022-02-16 19:33:56
68.0,22.0,52.0,40.0,63.0,97.0,63.0,62.0,1645050736.0,2022-02-16 22:32:16
65.0,21.0,49.0,45.0,57.0,98.0,63.0,63.0,1644608977.0,2022-02-11 19:49:37
63.0,22.0,48.0,41.0,54.0,95.0,62.0,63.0,1644619500.0,2022-02-11 22:45:00
64.0,22.0,48.0,41.0,66.0,99.0,63.0,63.0,1645202216.0,2022-02-18 16:36:56
67.0,22.0,48.0,50.0,61.0,96.0,63.0,63.0,1645213090.0,2022-02-18 19:38:10
70.0,22.0,52.0,43.0,59.0,97.0,63.0,63.0,1645225843.0,2022-02-18 23:10:43
67.0,22.0,51.0,42.0,42.0,85.0,63.0,63.0,1645235295.0,2022-02-19 01:48:15
63.0,22.0,50.0,41.0,57.0,95.0,63.0,63.0,1645245294.0,2022-02-19 04:34:54
67.0,21.0,48.0,36.0,62.0,100.0,63.0,63.0,1644857716.0,2022-02-14 16:55:16
66.0,22.0,48.0,41.0,52.0,99.0,63.0,63.0,1645418175.0,2022-02-21 04:36:15
66.0,23.0,49.0,37.0,57.0,98.0,63.0,63.0,1645429194.0,2022-02-21 07:39:54
