ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
2180776,9408,12,2.5,17:55:53,2021/06/17,83770,1,1,21,2021-06-17 17:55:53.000,1623936353,Operation,0,12,1
2180777,9358,12,28.0,17:55:59,2021/06/17,83770,1,1,21,2021-06-17 17:55:59.000,1623936359,Operation,0,12,1
2180778,9359,12,40.0,17:56:01,2021/06/17,83770,1,1,21,2021-06-17 17:56:01.000,1623936361,Operation,0,12,1
2213795,9408,12,2.4,20:09:43,2021/06/19,83737,1,1,21,2021-06-19 20:09:43.000,1624117183,Operation,0,12,1
2213796,9358,12,40.0,20:09:47,2021/06/19,83737,1,1,21,2021-06-19 20:09:47.000,1624117187,Operation,0,12,1
2213797,9359,12,48.0,20:09:48,2021/06/19,83737,1,1,21,2021-06-19 20:09:48.000,1624117188,Operation,0,12,1
2248054,9408,12,3.8,20:19:53,2021/06/21,83783,1,1,21,2021-06-21 20:19:53.000,1624290593,Operation,0,12,1
2248055,9358,12,71.0,20:19:57,2021/06/21,83783,1,1,21,2021-06-21 20:19:57.000,1624290597,Operation,0,12,1
2248056,9359,12,74.0,20:19:58,2021/06/21,83783,1,1,21,2021-06-21 20:19:58.000,1624290598,Operation,0,12,1
2248255,9408,12,3.8,23:59:11,2021/06/21,83732,1,1,21,2021-06-21 23:59:11.000,1624303751,Operation,0,12,1
2248256,9358,12,70.0,23:59:16,2021/06/21,83732,1,1,21,2021-06-21 23:59:16.000,1624303756,Operation,0,12,1
2248257,9359,12,71.0,23:59:18,2021/06/21,83732,1,1,21,2021-06-21 23:59:18.000,1624303758,Operation,0,12,1
2248456,9408,12,3.3,02:10:46,2021/06/22,83732,1,1,21,2021-06-22 02:10:46.000,1624311646,Operation,0,12,1
2248457,9358,12,70.0,02:10:51,2021/06/22,83732,1,1,21,2021-06-22 02:10:51.000,1624311651,Operation,0,12,1
2248458,9359,12,72.0,02:10:52,2021/06/22,83732,1,1,21,2021-06-22 02:10:52.000,1624311652,Operation,0,12,1
2248657,9408,12,3.3,05:14:41,2021/06/22,83783,1,1,21,2021-06-22 05:14:41.000,1624322681,Operation,0,12,1
